cbo_2002;nome_cargo
212405;Analista de sistemas
212410;Analista de Redes e de Comunicacao de Dados
212415;Analista De Sistemas De Automacao
212420;Analista De Suporte Computacional 
212425;Arquiteto de Solucoes de TI
212430;Analista de Testes de TI
317105;Desenvolvedor WEB
317115;Programador de Maquinas
317110;Desenvolvedor de  Sistemas de TI
317120;Desenvolvedor de Multimidia
317205;Operador de Computador
317210;Tecnico de Suporte Ao Usuario de TI
313220;Tecnico em manutencao de equipamentos de informatica
261215;Analista de Informacoes
212305;Administrador de Banco de Dados
212310;Administrador de Redes
212315;Administrador de Sistemas Operacionais
212320;Administrador em Seguranca da Informacao
212205;Engenheiro de Aplicativos em Computacao
212210;Engenheiro de Equipamentos em Computacao
212215;Engenheiro de Sistemas Operacioais em Computacao
142505;Gerente de Infraestrutura de TI
142510;Gerente de Desenvolvimento de Sistemas
142515;Gerente de Operacao de TI
142520;Gerente de Projetos de TI
142525;Gerente de Seguranca da Informacao
142530;Gerente de Suporte Tecnico de TI
142535;Tecnólogo em Gestao da TI
123605;Diretor de TI
